t,Sensor V [V],Control T [K],Control V [V],Heater Range [a.u.],Heater % [a.u.],Setpoint T [K]
1562734093.061024,+1.5991,+002.09,+1.6866,0,000,+000.95
1562734137.1086707,+1.5991,+002.10,+1.6865,0,000,+000.95
1562734181.1563466,+1.5990,+002.10,+1.6865,0,000,+000.95
1562734225.2040327,+1.5990,+002.10,+1.6865,0,000,+000.95
1562734269.2517698,+1.5990,+002.10,+1.6864,0,000,+000.95
1562734313.2993279,+1.5990,+002.10,+1.6865,0,000,+000.95
1562734357.3469663,+1.5990,+002.10,+1.6865,0,000,+000.95
1562734401.3946552,+1.5990,+002.10,+1.6865,0,000,+000.95
1562734445.4422157,+1.5990,+002.10,+1.6864,0,000,+000.95
1562734489.4898853,+1.5990,+002.10,+1.6863,0,000,+000.95
1562734533.537442,+1.5989,+002.10,+1.6864,0,000,+000.95
1562734577.5851097,+1.5989,+002.10,+1.6864,0,000,+000.95
1562734621.6328487,+1.5990,+002.10,+1.6864,0,000,+000.95
1562734665.680406,+1.5989,+002.10,+1.6864,0,000,+000.95
1562734709.7279296,+1.5989,+002.10,+1.6864,0,000,+000.95
1562734753.7756712,+1.5989,+002.10,+1.6863,0,000,+000.95
1562734797.8233953,+1.5989,+002.10,+1.6864,0,000,+000.95
1562734841.8703806,+1.5988,+002.11,+1.6863,0,000,+000.95
1562734885.918121,+1.5989,+002.10,+1.6864,0,000,+000.95
1562734929.9644048,+1.5989,+002.10,+1.6864,0,000,+000.95
1562734974.0120866,+1.5989,+002.10,+1.6863,0,000,+000.95
1562735018.0597615,+1.5989,+002.11,+1.6863,0,000,+000.95
1562735062.107349,+1.5989,+002.10,+1.6864,0,000,+000.95
1562735106.1550703,+1.5989,+002.10,+1.6865,0,000,+000.95
1562735150.2026882,+1.5990,+002.10,+1.6864,0,000,+000.95
1562735194.250208,+1.5990,+002.10,+1.6864,0,000,+000.95
1562735238.2975686,+1.5989,+002.10,+1.6864,0,000,+000.95
1562735282.345162,+1.5989,+002.11,+1.6863,0,000,+000.95
1562735326.392493,+1.5989,+002.10,+1.6864,0,000,+000.95
1562735370.4399447,+1.5989,+002.10,+1.6863,0,000,+000.95
1562735414.4873679,+1.5989,+002.10,+1.6863,0,000,+000.95
1562735458.5350702,+1.5989,+002.11,+1.6863,0,000,+000.95
1562735502.5827525,+1.5989,+002.10,+1.6863,0,000,+000.95
1562735546.63045,+1.5989,+002.10,+1.6864,0,000,+000.95
1562735590.6779366,+1.5989,+002.10,+1.6865,0,000,+000.95
1562735634.7210326,+1.5990,+002.10,+1.6864,0,000,+000.95
1562735678.7687252,+1.5990,+002.10,+1.6864,0,000,+000.95
1562735722.8164313,+1.5989,+002.10,+1.6864,0,000,+000.95
1562735766.864169,+1.5989,+002.10,+1.6864,0,000,+000.95
1562735810.9119062,+1.5990,+002.10,+1.6865,0,000,+000.95
1562735854.9559202,+1.5990,+002.10,+1.6866,0,000,+000.95
1562735899.003411,+1.5991,+002.10,+1.6866,0,000,+000.95
1562735943.0510345,+1.5990,+002.10,+1.6864,0,000,+000.95
1562735987.098735,+1.5989,+002.10,+1.6864,0,000,+000.95
1562736031.1457531,+1.5989,+002.10,+1.6865,0,000,+000.95
1562736075.1934834,+1.5990,+002.10,+1.6865,0,000,+000.95
1562736119.241202,+1.5991,+002.10,+1.6866,0,000,+000.95
1562736163.2889416,+1.5991,+002.10,+1.6866,0,000,+000.95
1562736207.3366876,+1.5992,+002.09,+1.6867,0,000,+000.95
1562736251.3842273,+1.5992,+002.09,+1.6867,0,000,+000.95
1562736295.4319217,+1.5992,+002.09,+1.6867,0,000,+000.95
1562736339.479571,+1.5991,+002.09,+1.6866,0,000,+000.95
1562736383.5272727,+1.5991,+002.10,+1.6866,0,000,+000.95
1562736427.5750504,+1.5990,+002.10,+1.6866,0,000,+000.95
1562736471.622751,+1.5991,+002.10,+1.6866,0,000,+000.95
1562736515.6704588,+1.5991,+002.09,+1.6866,0,000,+000.95
1562736559.7179408,+1.5991,+002.10,+1.6865,0,000,+000.95
1562736603.7655315,+1.5991,+002.10,+1.6866,0,000,+000.95
1562736647.8130658,+1.5990,+002.10,+1.6865,0,000,+000.95
1562736691.860722,+1.5991,+002.10,+1.6866,0,000,+000.95
1562736735.9083152,+1.5991,+002.09,+1.6866,0,000,+000.95
1562736779.9560816,+1.5991,+002.10,+1.6865,0,000,+000.95
1562736824.0037692,+1.5989,+002.10,+1.6864,0,000,+000.95
1562736868.0476859,+1.5989,+002.10,+1.6863,0,000,+000.95
1562736912.095346,+1.5989,+002.10,+1.6864,0,000,+000.95
1562736956.1430767,+1.5989,+002.10,+1.6865,0,000,+000.95
1562737000.190778,+1.5990,+002.10,+1.6866,0,000,+000.95
1562737044.2383988,+1.5990,+002.10,+1.6866,0,000,+000.95
1562737088.286169,+1.5991,+002.10,+1.6865,0,000,+000.95
1562737132.3327916,+1.5990,+002.10,+1.6866,0,000,+000.95
1562737176.3804264,+1.5991,+002.10,+1.6866,0,000,+000.95
1562737220.428063,+1.5990,+002.10,+1.6865,0,000,+000.95
1562737264.47579,+1.5989,+002.10,+1.6864,0,000,+000.95
1562737308.5234902,+1.5990,+002.10,+1.6865,0,000,+000.95
1562737352.5712137,+1.5990,+002.10,+1.6866,0,000,+000.95
1562737396.6188323,+1.5990,+002.10,+1.6865,0,000,+000.95
1562737440.6662078,+1.5990,+002.10,+1.6865,0,000,+000.95
1562737484.7128482,+1.5990,+002.10,+1.6865,0,000,+000.95
1562737528.7601273,+1.5991,+002.10,+1.6866,0,000,+000.95
1562737572.8076932,+1.5991,+002.10,+1.6865,0,000,+000.95
1562737616.8554182,+1.5991,+002.10,+1.6866,0,000,+000.95
1562737660.9031403,+1.5991,+002.09,+1.6866,0,000,+000.95
1562737704.9495144,+1.5991,+002.09,+1.6866,0,000,+000.95
1562737748.9972794,+1.5991,+002.10,+1.6865,0,000,+000.95
1562737793.0449033,+1.5990,+002.10,+1.6864,0,000,+000.95
1562737837.09244,+1.5991,+002.10,+1.6866,0,000,+000.95
1562737881.1401613,+1.5990,+002.10,+1.6866,0,000,+000.95
1562737925.1879206,+1.5990,+002.10,+1.6864,0,000,+000.95
