#time	diode A	diode B
1519950699.5	11.041759	11.248527
1519950719.6	11.042239	11.248970
1519950739.6	11.041979	11.248733
1519950759.7	11.041839	11.248615
1519950779.8	11.041802	11.248582
1519950799.9	11.041924	11.248708
1519950819.9	11.042372	11.249147
1519950840.0	11.042898	11.249676
1519950860.1	11.043077	11.249860
1519950880.1	11.043005	11.249770
1519950900.2	11.042981	11.249743
1519950920.3	11.042323	11.249105
1519950940.3	11.042389	11.249210
1519950960.4	11.042511	11.249300
1519950980.5	11.042771	11.249573
1519951000.5	11.043130	11.249920
1519951020.6	11.043053	11.249846
1519951040.7	11.043338	11.250121
1519951060.7	11.043588	11.250414
1519951080.8	11.043289	11.250135
1519951100.9	11.042971	11.249776
1519951121.0	11.043457	11.250240
1519951141.0	11.043253	11.250050
1519951161.1	11.043218	11.250084
1519951181.2	11.043411	11.250162
1519951201.2	11.043222	11.249993
1519951221.3	11.042762	11.249554
1519951241.4	11.042993	11.249752
1519951261.4	11.042986	11.249731
1519951281.5	11.042903	11.249743
1519951301.6	11.043045	11.249874
1519951321.7	11.043153	11.250031
1519951341.7	11.043465	11.250299
1519951361.8	11.043118	11.249980
1519951381.9	11.043110	11.249894
1519951401.9	11.043373	11.250136
1519951422.0	11.043852	11.250670
1519951442.1	11.043782	11.250592
1519951462.1	11.043372	11.250110
1519951482.2	11.043844	11.250629
1519951502.3	11.043793	11.250639
1519951522.4	11.043571	11.250414
1519951542.5	11.043245	11.250065
1519951562.5	11.043407	11.250247
1519951582.6	11.043543	11.250321
1519951602.7	11.043661	11.250503
1519951622.7	11.043718	11.250456
1519951642.8	11.043312	11.250181
1519951662.9	11.043797	11.250642
1519951682.9	11.043512	11.250422
1519951703.0	11.043775	11.250636
1519951723.1	11.043497	11.250331
1519951743.2	11.043878	11.250650
1519951763.2	11.043859	11.250737
1519951783.3	11.043735	11.250530
1519951803.4	11.043306	11.250127
1519951823.5	11.043669	11.250503
1519951843.5	11.043848	11.250725
1519951863.6	11.043806	11.250659
1519951883.7	11.043985	11.250834
1519951903.7	11.044155	11.251034
1519951923.8	11.044265	11.251085
1519951943.9	11.044589	11.251390
1519951964.0	11.044909	11.251811
1519951984.0	11.044347	11.251128
1519952004.1	11.044160	11.251032
1519952024.2	11.043835	11.250721
1519952044.3	11.044389	11.251265
1519952064.3	11.044700	11.251512
1519952084.4	11.044731	11.251584
1519952104.5	11.044096	11.251016
1519952124.5	11.043523	11.250367
1519952144.6	11.043756	11.250646
1519952164.7	11.044200	11.251072
1519952184.7	11.043997	11.250827
1519952204.8	11.044058	11.250952
1519952224.9	11.043839	11.250761
1519952244.9	11.043923	11.250828
1519952265.0	11.043783	11.250622
1519952285.1	11.044052	11.250912
1519952305.1	11.044356	11.251186
1519952325.2	11.043939	11.250812
1519952345.3	11.044313	11.251113
1519952365.3	11.043983	11.250839
1519952385.4	11.044488	11.251413
1519952405.5	11.044740	11.251592
1519952425.5	11.044513	11.251330
1519952445.6	11.044528	11.251343
1519952465.7	11.044128	11.251022
1519952485.7	11.044125	11.250990
1519952505.8	11.044998	11.251881
1519952525.9	11.044925	11.251783
1519952546.0	11.044371	11.251215
1519952566.0	11.044578	11.251474
1519952586.1	11.045049	11.251959
1519952606.2	11.044955	11.251762
1519952626.3	11.045156	11.252087
1519952646.3	11.044731	11.251680
1519952666.4	11.044915	11.251884
1519952686.5	11.044984	11.251857
1519952706.6	11.044559	11.251539
1519952726.6	11.044230	11.251096
1519952746.7	11.044286	11.251194
1519952766.8	11.044920	11.251841
1519952786.8	11.044967	11.251943
1519952806.9	11.044679	11.251570
1519952827.0	11.044757	11.251690
1519952847.0	11.044929	11.251866
1519952867.1	11.044603	11.251493
1519952887.2	11.044751	11.251631
1519952907.3	11.044677	11.251617
1519952927.3	11.044631	11.251533
1519952947.4	11.044215	11.251111
1519952967.5	11.045355	11.252258
1519952987.6	11.045320	11.252222
1519953007.6	11.045280	11.252131
1519953027.7	11.044929	11.251812
1519953047.8	11.045341	11.252172
1519953067.8	11.045297	11.252203
1519953087.9	11.045451	11.252425
1519953108.0	11.045420	11.252365
1519953128.1	11.045708	11.252570
1519953148.1	11.045186	11.252095
1519953168.2	11.045416	11.252328
1519953188.3	11.045512	11.252477
1519953208.3	11.044927	11.251825
1519953228.4	11.045109	11.251929
1519953248.5	11.045092	11.252000
1519953268.5	11.045229	11.252179
1519953288.6	11.045068	11.251949
1519953308.7	11.045332	11.252260
1519953328.7	11.044906	11.251763
1519953348.8	11.044589	11.251493
1519953368.9	11.045076	11.251950
1519953388.9	11.045061	11.252024
1519953409.0	11.045021	11.251923
1519953429.1	11.045067	11.251952
1519953449.2	11.045679	11.252531
1519953469.2	11.045838	11.252767
1519953489.3	11.045636	11.252593
1519953509.4	11.045900	11.252804
1519953529.4	11.044948	11.251783
1519953549.5	11.045151	11.252110
1519953569.6	11.045895	11.252872
1519953589.6	11.045734	11.252650
1519953609.7	11.045654	11.252529
1519953629.8	11.046050	11.252951
1519953649.8	11.045805	11.252741
1519953669.9	11.045901	11.252788
1519953690.0	11.045620	11.252535
1519953710.1	11.045839	11.252810
1519953730.1	11.045667	11.252558
1519953750.2	11.045314	11.252239
1519953770.3	11.045907	11.252814
1519953790.4	11.045403	11.252316
1519953810.4	11.046016	11.252954
1519953830.5	11.046215	11.253150
1519953850.6	11.046336	11.253243
1519953870.7	11.046764	11.253754
1519953890.7	11.046691	11.253635
1519953910.8	11.046921	11.253871
1519953930.9	11.046442	11.253411
1519953950.9	11.046386	11.253338
1519953971.0	11.046520	11.253471
1519953991.1	11.046828	11.253812
1519954011.2	11.046632	11.253549
1519954031.2	11.046363	11.253307
1519954051.3	11.046407	11.253325
1519954071.4	11.046662	11.253614
1519954091.4	11.046752	11.253677
1519954111.5	11.046739	11.253648
1519954131.6	11.046400	11.253318
1519954151.6	11.045971	11.252938
1519954171.7	11.046468	11.253456
1519954191.8	11.046708	11.253614
1519954211.8	11.046797	11.253725
1519954231.9	11.046627	11.253616
1519954252.0	11.046283	11.253221
1519954272.1	11.045938	11.252855
1519954292.1	11.045713	11.252608
1519954312.2	11.046186	11.253150
1519954332.3	11.045914	11.252773
1519954352.4	11.045719	11.252596
1519954372.4	11.046022	11.252978
1519954392.5	11.046279	11.253205
1519954412.6	11.046620	11.253531
1519954432.7	11.046546	11.253489
1519954452.7	11.046750	11.253697
1519954472.8	11.046288	11.253250
1519954492.9	11.046532	11.253473
1519954513.0	11.046856	11.253805
1519954533.0	11.047626	11.254561
1519954553.1	11.046783	11.253737
1519954573.2	11.047567	11.254566
1519954593.3	11.047229	11.254149
1519954613.3	11.047069	11.253980
1519954633.4	11.047085	11.254094
1519954653.5	11.046981	11.253830
1519954673.6	11.047061	11.254018
1519954693.6	11.046977	11.253901
1519954713.7	11.046679	11.253583
1519954733.8	11.046951	11.253925
1519954753.8	11.047235	11.254213
1519954773.9	11.046829	11.253790
1519954794.0	11.047236	11.254181
1519954814.1	11.046692	11.253626
1519954834.1	11.046968	11.253895
1519954854.2	11.046966	11.253957
1519954874.3	11.046824	11.253725
1519954894.3	11.047165	11.254147
1519954914.4	11.047100	11.254065
1519954934.5	11.047445	11.254412
1519954954.6	11.047140	11.254050
1519954974.6	11.047396	11.254378
1519954994.7	11.047472	11.254416
1519955014.8	11.046869	11.253846
1519955034.9	11.046942	11.253924
1519955054.9	11.047038	11.254025
1519955075.0	11.046839	11.253842
1519955095.1	11.047253	11.254181
1519955115.2	11.046971	11.253988
1519955135.2	11.047152	11.254122
1519955155.3	11.047486	11.254517
1519955175.4	11.047069	11.254055
1519955195.5	11.046716	11.253703
1519955215.5	11.047303	11.254280
1519955235.6	11.047644	11.254642
1519955255.7	11.047852	11.254805
1519955275.7	11.047633	11.254639
1519955295.8	11.047340	11.254397
1519955315.9	11.047798	11.254777
1519955335.9	11.048117	11.255089
1519955356.0	11.047602	11.254615
1519955376.1	11.047711	11.254725
1519955396.2	11.047583	11.254621
1519955416.2	11.047362	11.254386
1519955436.3	11.047298	11.254338
1519955456.4	11.047307	11.254293
1519955476.5	11.047555	11.254545
1519955496.5	11.047790	11.254768
1519955516.6	11.047504	11.254480
1519955536.7	11.047839	11.254820
1519955556.8	11.048120	11.255145
1519955576.8	11.047959	11.254974
1519955596.9	11.047939	11.254910
1519955617.0	11.048019	11.254959
1519955637.0	11.048011	11.255077
1519955657.1	11.047858	11.254844
1519955677.2	11.048200	11.255185
1519955697.3	11.048158	11.255198
1519955717.3	11.048300	11.255305
1519955737.4	11.048293	11.255318
1519955757.5	11.048551	11.255616
1519955777.6	11.048651	11.255704
1519955797.6	11.047668	11.254625
1519955817.7	11.047687	11.254745
1519955837.8	11.047697	11.254717
1519955857.8	11.048183	11.255245
1519955877.9	11.047808	11.254827
1519955898.0	11.047608	11.254588
1519955918.0	11.047776	11.254788
1519955938.1	11.047506	11.254476
1519955958.2	11.048093	11.255125
1519955978.2	11.048136	11.255176
1519955998.3	11.048502	11.255571
1519956018.4	11.048271	11.255302
1519956038.5	11.048153	11.255115
1519956058.5	11.048264	11.255344
1519956078.6	11.048345	11.255314
1519956098.7	11.048429	11.255509
1519956118.7	11.048623	11.255661
1519956138.8	11.048185	11.255217
1519956158.9	11.047926	11.254981
1519956178.9	11.048569	11.255670
1519956199.0	11.048835	11.255805
1519956219.1	11.048386	11.255370
1519956239.1	11.048501	11.255564
1519956259.2	11.048631	11.255692
1519956279.3	11.048652	11.255713
1519956299.4	11.049146	11.256147
1519956319.4	11.048855	11.255857
1519956339.5	11.048393	11.255384
1519956359.6	11.048385	11.255334
1519956379.6	11.048757	11.255836
1519956399.7	11.048962	11.255990
1519956419.8	11.049008	11.256080
1519956439.8	11.048548	11.255564
1519956459.9	11.048400	11.255517
1519956480.0	11.048524	11.255575
1519956500.0	11.048576	11.255657
1519956520.1	11.048685	11.255705
1519956540.2	11.048426	11.255485
1519956560.3	11.048853	11.255982
1519956580.3	11.048740	11.255856
1519956600.4	11.048558	11.255595
1519956620.5	11.049321	11.256395
1519956640.6	11.049438	11.256490
1519956660.6	11.049077	11.256153
1519956680.7	11.049082	11.256191
1519956700.8	11.049197	11.256305
1519956720.8	11.049321	11.256430
1519956740.9	11.048921	11.255993
1519956761.0	11.049287	11.256330
1519956781.0	11.048758	11.255860
1519956801.1	11.049066	11.256141
1519956821.2	11.049259	11.256323
1519956841.3	11.049201	11.256246
