t,Sensor V [V],Control T [K],Control V [V],Heater Range [a.u.],Heater % [a.u.],Setpoint T [K]
1564259725.6820757,+0.5735,+295.0,+0.5309,0,000,+324.9
1564259757.7178483,+0.5735,+295.0,+0.5309,0,000,+324.9
1564259789.7535455,+0.5735,+295.0,+0.5309,0,000,+324.9
1564259821.7892451,+0.5735,+295.0,+0.5309,0,000,+324.9
1564259853.8236861,+0.5735,+295.0,+0.5309,0,000,+324.9
1564259885.8579712,+0.5735,+295.0,+0.5309,0,000,+324.9
1564259917.8937585,+0.5735,+295.0,+0.5309,0,000,+324.9
1564259949.9295013,+0.5735,+295.0,+0.5309,0,000,+324.9
1564259981.9653697,+0.5735,+295.0,+0.5309,0,000,+324.9
1564260014.0011218,+0.5735,+295.0,+0.5309,0,000,+324.9
1564260046.0370648,+0.5735,+295.0,+0.5309,0,000,+324.9
1564260078.0729,+0.5735,+295.0,+0.5309,0,000,+324.9
1564260110.108886,+0.5735,+295.0,+0.5309,0,000,+324.9
1564260142.1447635,+0.5735,+295.0,+0.5309,0,000,+324.9
1564260174.1806884,+0.5735,+295.0,+0.5309,0,000,+324.9
1564260206.216264,+0.5735,+295.0,+0.5309,0,000,+324.9
1564260238.2521276,+0.5735,+295.0,+0.5309,0,000,+324.9
1564260270.2876084,+0.5735,+295.0,+0.5309,0,000,+324.9
1564260302.3233566,+0.5735,+295.0,+0.5309,0,000,+324.9
1564260334.3590925,+0.5735,+295.0,+0.5309,0,000,+324.9
1564260366.3947084,+0.5735,+295.0,+0.5309,0,000,+324.9
1564260398.4305544,+0.5735,+295.0,+0.5309,0,000,+324.9
1564260430.4661622,+0.5735,+295.0,+0.5309,0,000,+324.9
1564260462.5018363,+0.5735,+295.0,+0.5309,0,000,+324.9
1564260494.537545,+0.5735,+295.0,+0.5309,0,000,+324.9
1564260526.5734026,+0.5735,+295.0,+0.5309,0,000,+324.9
1564260558.609004,+0.5735,+295.0,+0.5309,0,000,+324.9
1564260590.6447635,+0.5735,+295.0,+0.5309,0,000,+324.9
